line,verse,part,text
87,22,4,ระกำไม่เหมือนระกำที่ช้ำทรวง
88,23,1,ถึงวนหลวงหวงห้ามเหมือนความรัก
89,23,2,เหลือจักหักจับต้องเปนของหลวง
90,23,3,แต่รวยรินกลิ่นผกาบุบผาพวง
91,23,4,ระรื่นร่วงเรณูฟูขจร
92,24,1,โอ้ไม้ต้นคนเฝ้าเสาวรส
93,24,2,ยังปรากฎกลิ่นกล่อมหอมเกสร
94,24,3,แต่โกสุมภุมรินมาบินวอน
95,24,4,ไม่ดับร้อนร่วงกลิ่นให้ดิ้นโดย
96,25,1,ดึกกำดัดสัตว์อื่นไม่ตื่นหมด
97,25,2,แต่นกกดร้องเร้ากระเหว่าโหย
98,25,3,ระรวยรินกลิ่นโศกมาโบกโบย
99,25,4,โอ้โศกโรยแรมร้างมาห่างจร
100,26,1,ถึงบางขวางปางก่อนว่ามอญขวาง
101,26,2,เดี๋ยวนี้นางไทยลาวแก่สาวสลอน
102,26,3,ทำยศอย่างขวางแขนแสนแสงอน
103,26,4,ถึงนางมอญก็ไม่ขวางเหมือนนางไทย
104,27,1,วัดพิกุลฉุนกลิ่นระรินรื่น
105,27,2,โอ้หอมชื่นเชยกับรสแป้งสดใส
106,27,3,เหมือนพิกุลอุ่นทรวงพวงมาไลย
107,27,4,ที่เคยใส่หัดถ์หอมถนอมนวล
108,28,1,โอ้ยามนี้มิได้เชยที่เคยชื่น
109,28,2,มาหอมรื่นแต่ดอกไม้ที่ในสวน
110,28,3,พระพายโชยโรยรินกลิ่นลำดวน
111,28,4,เหมือนจะชวนชูใจเมื่อไกลเชย
112,29,1,บางผักหนามนึกขามแต่หนามเสี้ยน
113,29,2,หนามทุเรียนลักฉีกอีกเจ้าเอ๋ย
114,29,3,ที่กีดขวางทางความแต่หนามเตย
115,29,4,ไม่น่าเชยน่าชังล้วนรังแตน
116,30,1,ถึงสวนแดนแสนเสียดายสายสวาท
117,30,2,มาสิ้นชาติปรโลกยิ่งโศกแสน
118,30,3,ไปสวรรค์ชั้นบนคนละแดน
119,30,4,ไม่รวมแผ่นภพโลกยิ่งโศกใจ
120,31,1,ถึงวัดเกษเจตนาแต่การะเกษ
121,31,2,ไม่สมเจตนาน่าน้ำตาไหล
122,31,3,เคยลับเนตรเกษน้อยกลอยฤทัย
123,31,4,มาจำใจกลืนกลั้นที่รัญจวน
124,32,1,น้ำค้างพรมลมชายระบายโบก
125,32,2,หอมดอกโศกเศร้าสร้อยละห้อยหวน
126,32,3,เหมือนโศกร้างห่างเหเสน่ห์นวล
127,32,4,มาถึงสวนโศกช้ำระกำทรวง
128,33,1,เห็นรักน้ำคร่ำคร่าไม่น่ารัก
129,33,2,จะเด็จหักเสียก็ได้เขาไม่หวง
130,33,3,แต่ละต้นผลลูกดังผูกพวง
131,33,4,ก็โรยร่วงเปล่าหมดไม่งดงาม
132,34,1,เหมือนรักคนคนรักทำยักยอก
133,34,2,จะเก็บดอกเด็จผลคนก็ขาม
134,34,3,แม้นยางลูกถูกหัดถ์ก็กัดลาม
135,34,4,เหมือนรำรามรักรายริมชายพง
136,35,1,วัดฉะลอใครหนอฉะลอฉลาด
