line,verse,part,text
84,22,1,ดูใหญ่เท่าเสากระโดงผีโป่งสิง
85,22,2,เป็นรูปหญิงยืนหลอกผมหงอกขาว
86,22,3,คิดจะตีหนีไปกลัวไม้ท้าว
87,22,4,โอ้เคราะห์คราวขึ้นไปเหนือเหมือนเหลือตาย
88,23,1,เมื่อขาล่องต้องตอเรือหล่อล่ม
89,23,2,เจียนจะจมน้ำม้วยระหวยระหาย
90,23,3,ปะหาดตื้นขึ้นรอดไม่วอดวาย
91,23,4,แต่ปะตายหลายหนหากทนทาน
92,24,1,แล้วมิหนำซ้ำบุตรสุดที่รัก
93,24,2,ขโมยลักหลายหนผจญผลาญ
94,24,3,ต้องต่ำต้อยย่อยยับอัประมาณ
95,24,4,มาอยู่วิหารวัดเลียบยิ่งเยียบเย็น
96,25,1,โอ้ยามจนล้นเหลือสิ้นเสื่อหมอน
97,25,2,สู้ซุ่มซ่อนเสียมิให้ใครใครเห็น
98,25,3,ราหูทับยับเยินเผอิญเป็น
99,25,4,เปรียบเหมือนเช่นพราหมณ์ชีมณีจันท์
100,26,1,จะสึกหาลาพระอธิฐาน
101,26,2,โดยกันดารเดือดร้อนสุดผ่อนผัน
102,26,3,พอพวกพระอภัยมณีศรีสุวรรณ
103,26,4,เธอช่วยกันแก้ร้อนค่อยหย่อนเย็น
104,27,1,อยู่มาพระสิงหะไตรภพโลก
105,27,2,เห็นเศร้าโศกแสนแค้นสุดแสนเข็ญ
106,27,3,ทุกค่ำคืนฝืนหน้าน้ำตากระเด็น
107,27,4,พระโปรดเป็นที่พึ่งเหมือนหนึ่งนึก
108,28,1,ดังไข้หนักรักษาวางยาทิพย์
109,28,2,ฉันทองหยิบฝอยทองไม่ต้องสึก
110,28,3,ค่อยฝ่าฝืนชื่นฉ่ำดั่งอำมฤก
111,28,4,แต่ตกลึกเหลือที่จะได้สบาย
112,29,1,ค่อยเบาบางสร่างโศกเหมือนโรคฟื้น
113,29,2,จะเดินยืนยังไม่ได้ยังไม่หาย
114,29,3,ได้ห่มสีมีหมอนเสื่ออ่อนลาย
115,29,4,ค่อยคลายอายอุตส่าห์ครองฉลองคุณ
116,30,1,เหมือนพบปะพระสิทธาที่ปรารภ
117,30,2,ชุบบุตรลพเลี้ยงเหลือช่วยเกื้อหนุน
118,30,3,สนอมพักตร์รักษาด้วยการุญ
119,30,4,ทรงสร้างบุญคุณศีลเพิ่มภิญโญ
120,31,1,ถึงยากไร้ได้พึ่งหมือนหนึ่งแก้ว
121,31,2,พาผ่องแผ้วผิวพักตร์ขึ้นอักโข
122,31,3,พระฤๅษีที่ท่านช่วยชุบเสือโค
123,31,4,ให้เรืองฤทธิ์อิสโรเดโชชัย
124,32,1,แล้วไม่เลี้ยงเพียงแต่ชุบช่วยอุปถัมภ์
125,32,2,พระคุณล้ำโลกาจะหาไหน
126,32,3,ช่วยชี้ทางกลางป่าให้คลาไคล
127,32,4,หลวิชัยคาวีจำลีลา
128,33,1,แต่ละองค์ทรงพรตพระยศยิ่ง
129,33,2,เป็นยอดมิ่งเมืองมนุษย์นี้สุดหา
130,33,3,จงไพบูลย์พูนสวัสดิ์วัฒนา
131,33,4,พระชันษาสืบยืนอยู่หมื่นปี
132,34,1,เป็นคราวเคราะห์ก็ต้องพรากจากวิหาร
133,34,2,กลัวพวกพาลผู้ร้ายจำย้ายหนี
134,34,3,อยู่วัดเทพธิดาด้วยบารมี
135,34,4,ได้ผ้าปีปัจจัยไทยทาน
136,35,1,ถึงยามเคราะห์ก็เผอิญให้เหินห่าง
137,35,2,ไม่เหมือนอย่างอยู่ที่พระวิหาร
138,35,3,โอ้ใจหายกลายกลับอัประมาณ
139,35,4,โดยกันดารเดือดร้อนไม่หย่อนเย็น
140,36,1,ได้พึ่งพระปะแพรพอแก้หน้า
141,36,2,สองวัสสาสิ้นงามถึงยามเข็ญ
142,36,3,คิดขัดขวางอย่างจะพาเลือดตากระเด็น
143,36,4,บันดาลเป็นปลวกปล่องขึ้นห้องนอน
144,37,1,กัดเสื่อสาดขาดปรุทะลุสมุด
145,37,2,เสียดายสุดแสนรักเรื่องอักษร
146,37,3,เสียแพรผ้าอาศัยไตรจีวร
147,37,4,ดูพรุนพลอนพลอยพาน้ำตาคลอ
148,38,1,ถึงคราวคลายปลายอ้อยบุญน้อยแล้ว
149,38,2,ไม่ผ่องแผ้วพักตราวาสนาหนอ
150,38,3,นับปีเดือนเหมือนจะหักทั้งหลักตอ
151,38,4,แต่รั้งรอร้อนรนกระวนกระวาย
152,39,1,ถึงเดือนยี่มีเทศน์สมเพชพักตร์
153,39,2,เหมือนลงรักรู้ว่าบุญสิ้นสูญหาย
154,39,3,สู้ซ่อนหน้าฝ่าฝืนสะอื้นอาย
155,39,4,จนถึงปลายปีฉลูมีธุระ
156,40,1,ไปทางเรือเหลือสลดด้วยปลดเปลื้อง
157,40,2,ระคางเคืองข้องขัดสลัดสละ
158,40,3,ลืมวันเดือนเชือนเฉยแกล้งเลยละ
159,40,4,เห็นแต่พระอภัยพระทัยดี
160,41,1,ช่วยแจวเรือเกื้อหนุนทำบุญด้วย
161,41,2,เหมือนโปรดช่วยชูหน้าเป็นราศี
162,41,3,กลับมาถึงผึ้งมาจับอยู่กับกระฎี
163,41,4,ทำรังที่ทิศประจิมริมประตู
164,42,1,ต้องขัดเคืองเรื่องราวด้วยคราวเคราะห์
165,42,2,จวบจำเพาะสุริยาถึงราหู
166,42,3,ทั้งบ้านทั้งวังวัดเป็นศัตรู
167,42,4,แม้นขืนอยู่ยากเย็นจะเห็นใคร
168,43,1,เครื่องกระฎีที่ยังเหลือแต่เสื่อขาด
169,43,2,เข้าไสยาศยุงกัดปัดไม่ไหว
170,43,3,เคยสว่างกลางคืนขาดฟืนไฟ
171,43,4,จะโทษใครเคราะห์กรรมจึ่งจำทน
172,44,1,โอ้อายเพื่อนเหมือนเขาว่ากิ่งกาฝาก
173,44,2,มิใช่รากรักเร่ระเหระหน
174,44,3,ที่ทุกข์สุขขุกเข็ญเกิดเป็นคน
175,44,4,ต้องคิดขวนขวายหารักษากาย
176,45,1,ได้พึ่งบ้างอย่างนี้เป็นที่ยิ่ง
177,45,2,สัจจังจริงจงรักสมัครหมาย
178,45,3,ไม่ลืมคุณพูนสวัสดิ์ถึงพลัดพราย
179,45,4,มิได้วายเวลาคิดอาลัย
180,46,1,จะลับวัดพลัดที่กระฎีตึก
181,46,2,สุดแต่นึกน้ำตามาแต่ไหน
182,46,3,เฝ้านองเนตรเช็ดพักตร์สักเท่าไร
183,46,4,ขืนหลั่งไหลรินร่ำน่ารำคาญ
184,47,1,คิดอายเพื่อนเหมือนเขาเล่าแม่เจ้านี่
185,47,2,เร่ไปปีละร้อยเรือนเดือนละร้อยบ้าน
186,47,3,เพราะบุญน้อยย่อยยับอัประมาณ
187,47,4,เหลือที่ท่านอุปถัมภ์ช่วยบำรุง
188,48,1,ต่อเมื่อไรไปทำทองสำเร็จ
189,48,2,แก้ปูนเพชพบทองสักสองถุง
190,48,3,จะผาสุกทุกสิ่งนอนกลิ้งพุง
191,48,4,กินหมูกุ้งไก่เป็ดจนเข็ดฟัน
192,49,1,ขอเดชะพระมหาอานิสงส์
193,49,2,ซึ่งรูปทรงสัจศีลถวิลสวรรค์
194,49,3,จะเที่ยวรอบขอบประเทศทุกเขตคัน
195,49,4,ขอความฝันวันนี้บอกดีร้าย
